gene,eqZ,wbZ,ntZ,multiZ
ENSG00000054219,-2.07414,,,
ENSG00000054267,-0.609592,,,
ENSG00000054277,3.73186,,1.80608,
ENSG00000054282,-7.20392,,-4.59744,
ENSG00000054356,-1.78909,-1.33349,,
ENSG00000054392,-0.656756,,0.683236,
ENSG00000054523,2.67399,2.41101,1.71637,2.9185
ENSG00000054611,0.444849,,0.387853,
ENSG00000054654,0.0135766,,,
ENSG00000054690,0.606126,1.00397,1.32238,1.64497
ENSG00000054793,-1.50935,-0.307321,,
ENSG00000054965,2.53096,,,
ENSG00000054983,1.3075,-0.0389343,0.806442,0.54271
ENSG00000055118,-1.32381,,,
ENSG00000055130,-0.629164,0.125406,,
ENSG00000055163,-4.17707,,0.346801,
ENSG00000055211,-2.59465,,,
ENSG00000055332,-2.49034,-2.91154,-2.71559,-3.97898
ENSG00000055483,2.66853,-2.84698,1.92632,-0.651006
ENSG00000055732,-0.413471,-1.99955,,
ENSG00000055917,-2.45419,-0.771634,,
ENSG00000055950,-0.661001,0.381777,0.453521,0.590645
ENSG00000055955,-1.80516,-3.94941,-4.2258,-5.78075
ENSG00000056097,-2.04663,-0.919021,,
ENSG00000056558,0.886701,-2.522,-1.30048,-2.7029
ENSG00000056736,0.0621858,2.04495,,
ENSG00000056972,-1.64,0.282372,,
ENSG00000057019,-1.02258,,-1.85543,
ENSG00000057252,1.07752,0.931883,,
ENSG00000057294,2.14134,,,
ENSG00000057608,-3.59662,,,
ENSG00000057704,0.249616,,,
ENSG00000057935,-0.4721,,,
ENSG00000058056,0.985233,-1.00979,-1.91371,-2.06722
ENSG00000058063,-2.36979,-0.419946,-0.679536,-0.777452
ENSG00000058091,0.585583,,,
ENSG00000058453,3.60044,,,
ENSG00000058673,2.28884,,,
ENSG00000058729,0.0955372,,,
ENSG00000058799,-0.880635,0.446347,0.243164,0.487558
ENSG00000058804,-0.211623,,,
ENSG00000059122,2.0921,1.0233,1.06614,1.47746
ENSG00000059377,-0.231615,,,
ENSG00000059378,-1.9988,2.16283,2.31209,3.16425
ENSG00000059573,1.15058,0.93685,,
ENSG00000059588,-0.871881,-1.47601,,
ENSG00000059691,-1.11114,-0.428568,-2.72907,-2.23279
ENSG00000059758,0.669415,-1.1247,,
ENSG00000059769,-0.695214,-1.08023,,
ENSG00000059915,-1.79907,,,
ENSG00000060069,-1.11515,-2.86709,,
ENSG00000060138,-0.409488,,-0.358623,
ENSG00000060140,0.280013,,,
ENSG00000060339,-1.2875,,,
ENSG00000060491,2.11553,,1.06722,
ENSG00000060558,-0.835088,-1.01076,,
ENSG00000060642,3.81058,,,
ENSG00000060656,0.13582,,2.63212,
ENSG00000060749,-2.85174,-0.905396,,
ENSG00000060762,4.41764,-0.479012,0.329394,-0.105796
ENSG00000060971,-1.96407,,,
ENSG00000060982,6.84891,2.07016,-1.38289,0.485977
ENSG00000061273,0.429614,,,
ENSG00000061337,1.77382,-0.0786405,,
ENSG00000061676,0.497998,,,
ENSG00000061794,0.165399,,,
ENSG00000061918,0.659164,,0.348356,
ENSG00000061936,1.33871,,,
ENSG00000061938,-0.990686,0.531144,0.124679,0.463737
ENSG00000061987,0.362942,,0.795943,
ENSG00000062194,-0.764688,,,
ENSG00000062282,-0.667256,,,
ENSG00000062485,-0.0953476,,-2.98991,
ENSG00000062524,0.73053,,,
ENSG00000062582,1.62553,,,
ENSG00000062650,-0.703743,-2.19827,2.13982,-0.0413321
ENSG00000062716,-0.811182,-0.62143,,
ENSG00000063015,-0.552852,,,
ENSG00000063046,-2.09661,,-1.02581,
ENSG00000063127,0.22222,,,
ENSG00000063169,-0.527894,-0.407898,,
ENSG00000063176,1.86531,,,
ENSG00000063180,-4.37261,-0.816884,-1.71082,-1.78735
ENSG00000063241,-5.13342,-0.140905,,
ENSG00000063244,1.90406,,,
ENSG00000063245,0.835704,-0.180206,,
ENSG00000063438,-0.292701,,,
ENSG00000063660,-1.8181,,0.819466,
ENSG00000063761,2.64886,1.83957,1.48893,2.35361
ENSG00000063854,-0.111016,-1.73485,,
ENSG00000063978,1.64922,,1.98464,
ENSG00000064012,-1.8239,-0.591447,-0.591619,-0.836554
ENSG00000064042,-4.28241,,,
ENSG00000064102,-1.39104,-0.821402,,
ENSG00000064115,-1.16657,,,
ENSG00000064199,1.2393,1.37086,,
ENSG00000064201,-0.286759,,-0.208756,
ENSG00000064225,-0.246698,,-2.82245,
