gene,eqZ,wbZ,ntZ,multiZ
ENSG00000018699,-1.03083,-0.947296,-0.947296,-1.33968
ENSG00000019102,-5.63741,-4.6548,-4.9446,-6.7878
ENSG00000019485,-3.76738,0.563516,0.471446,0.731829
ENSG00000019995,-0.707131,0.4638,-0.4638,1.17757e-16
ENSG00000020129,1.7083,-1.1947,-1.1947,-1.68956
ENSG00000020256,0.446197,0.421261,0.118476,0.381652
ENSG00000020633,-0.969427,1.28924,1.28924,1.82325
ENSG00000020922,0.467923,0.724115,0.246626,0.686417
ENSG00000021300,-1.58798,-3.51521,1.10934,-1.7012
ENSG00000021355,0.61682,-0.422843,0.875078,0.319778
ENSG00000021488,-1.92171,-0.647524,-0.357091,-0.71037
ENSG00000021762,0.413143,1.02922,0.470903,1.06075
ENSG00000022556,-1.44195,-0.875477,-0.366518,-0.878223
ENSG00000022567,-0.534178,-0.567,-2.06154,-1.85866
ENSG00000022840,1.26451,0.138555,1.62403,1.24634
ENSG00000022976,-2.61322,0.263283,1.84336,1.48962
ENSG00000023041,-3.25742,0.418782,-0.878127,-0.324806
ENSG00000023171,-2.91144,-1.92311,1.12005,-0.567847
ENSG00000023191,0.397508,-1.25709,0.42479,-0.588522
ENSG00000023228,-2.45084,0.414649,-1.67904,-0.894063
ENSG00000023516,-0.498496,2.15156,0.114744,1.60252
ENSG00000023572,3.26638,0.0592179,3.30465,2.37861
ENSG00000023608,1.20424,0.749712,-1.70513,-0.675581
ENSG00000023839,2.0093,2.42976,1.85045,3.02656
ENSG00000023892,1.67378,1.21583,0.790259,1.41852
ENSG00000023909,0.999936,0.922631,0.363766,0.90962
ENSG00000024048,-1.72164,0.0198965,3.59417,2.55553
ENSG00000024422,1.58191,2.19739,1.77724,2.81049
ENSG00000024862,0.091807,-1.50117,-0.782243,-1.61462
ENSG00000025039,-0.215237,-2.41874,1.86132,-0.394159
ENSG00000025156,-1.2141,-0.986284,0.00153077,-0.696326
ENSG00000025293,-1.15572,-1.17824,-1.17824,-1.66628
ENSG00000025423,0.624808,1.80868,-1.80868,-1.57009e-16
ENSG00000025434,-0.611287,1.14226,0.285821,1.0098
ENSG00000025708,-4.00938,-0.748959,-0.311377,-0.74977
ENSG00000025770,1.93966,1.79779,0.140147,1.37033
ENSG00000025772,-1.09814,-1.90135,-1.90135,-2.68892
ENSG00000025800,-0.701649,-1.59287,-0.544545,-1.51138
ENSG00000026297,0.308521,0.678463,0.918604,1.1293
ENSG00000026508,-1.55976,-0.0216672,-1.70265,-1.21928
ENSG00000026652,1.82708,0.149247,-0.115387,0.0239429
ENSG00000026950,-0.276716,-0.337483,-2.43937,-1.96353
ENSG00000027001,0.0280507,0.152369,-0.729945,-0.408408
ENSG00000027697,-1.46736,0.306908,-0.0675181,0.169275
ENSG00000027847,2.93604,-0.457287,1.26278,0.569567
ENSG00000028137,0.971436,1.03774,-1.03774,0
ENSG00000028203,-2.35004,-0.526236,-1.44782,-1.39587
ENSG00000028528,2.75883,3.32037,2.72615,4.27554
ENSG00000029153,-0.15196,-2.02486,2.02486,3.14018e-16
ENSG00000029364,-0.800261,-0.695602,2.17034,1.0428
ENSG00000029725,-5.40047,-3.43321,-4.74913,-5.78579
ENSG00000030066,-1.80493,-2.62628,1.33311,-0.91441
ENSG00000030110,-6.90124,-3.07505,-0.561048,-2.57111
ENSG00000030419,-2.54933,-0.954527,-0.933932,-1.33534
ENSG00000030582,-0.665449,0.991414,2.24452,2.28815
ENSG00000031081,-1.94548,-1.35661,-2.21576,-2.52605
ENSG00000031698,1.97535,0.546951,0.548271,0.774438
ENSG00000032444,0.593282,1.10593,0.594965,1.20272
ENSG00000032742,-1.90249,-1.08283,-1.83142,-2.06068
ENSG00000033050,1.63236,-1.35128,0.806644,-0.385113
ENSG00000033100,1.57048,1.86185,1.37662,2.28994
ENSG00000033170,-0.179508,2.9616,2.17754,3.63392
ENSG00000033327,-1.49227,-1.16998,2.5441,0.971649
ENSG00000033627,-0.644379,0.867535,1.0627,1.36488
ENSG00000033800,-1.16298,-3.15365,-1.32981,-3.17029
ENSG00000034152,0.39946,2.14273,2.14273,3.03028
ENSG00000034677,-0.558934,-2.62391,0.444665,-1.54096
ENSG00000034693,-0.783857,0.365115,-0.149893,0.152185
ENSG00000034713,0.0240511,0.866261,0.866261,1.22508
ENSG00000035115,0.112283,1.75603,0.537068,1.62146
ENSG00000035141,-0.918902,0.193242,-0.433975,-0.170224
ENSG00000035499,0.816526,1.04906,1.62719,1.8924
ENSG00000035664,-2.40227,-1.35148,1.50618,0.109388
ENSG00000035687,-1.15175,3.60444,2.3739,4.22733
ENSG00000035928,0.136276,-0.348919,-0.590868,-0.66453
ENSG00000036257,3.31219,-4.05857,1.79137,-1.60315
ENSG00000036448,-1.11112,-1.12924,3.21451,1.47452
ENSG00000037042,1.72485,1.5007,0.333839,1.29722
ENSG00000037474,-3.23401,-4.24616,-3.51576,-5.48851
ENSG00000037637,-0.493443,-1.13634,-1.13634,-1.60703
ENSG00000037757,-0.588525,0.0159035,0.0159035,0.022491
ENSG00000038002,1.51424,1.03316,1.03316,1.4611
ENSG00000038210,0.726443,0.565256,0.208946,0.547444
ENSG00000038219,-1.32337,-4.11137,-3.18888,-5.16206
ENSG00000038427,1.00011,-0.311377,-0.311377,-0.440353
ENSG00000038945,-2.35254,-3.09439,-2.82737,-4.18732
ENSG00000039123,-0.385016,0.955297,0.797664,1.23953
ENSG00000039319,0.545975,1.34272,0.994628,1.65275
ENSG00000039560,-0.561611,-2.01591,-0.217462,-1.57924
ENSG00000039650,-3.00899,-0.486138,0.872321,0.273072
ENSG00000040199,2.32421,3.54751,2.27483,4.11702
ENSG00000040275,-0.654869,-0.207342,-0.163013,-0.26188
ENSG00000040487,1.09114,2.84644,1.21822,2.87415
ENSG00000040531,0.825923,-1.45804,-2.13099,-2.53783
ENSG00000040933,-0.341249,2.02364,2.0209,2.85992
ENSG00000041353,-0.109448,1.87125,0.632933,1.77072
ENSG00000041357,6.95468,5.7797,-0.468424,3.75564
ENSG00000041802,0.982387,0.0984197,0.236214,0.236622
ENSG00000041988,-5.21735,-4.43827,-1.36562,-4.10398
ENSG00000042088,-1.51275,0.399858,1.39873,1.2718
ENSG00000042286,2.23208,0.560769,0.560769,0.793047
ENSG00000042317,-0.639056,1.24992,2.07268,2.34943
ENSG00000042429,-1.43461,-2.04556,-5.4826,-5.32321
ENSG00000042445,1.41802,1.21792,0.144538,0.963406
ENSG00000042493,-0.671271,-0.034485,-0.531597,-0.40028
ENSG00000042753,0.420476,1.12487,-0.6908,0.306933
